"key_person","key_uuid","key_mlbam","key_retro","key_bbref","key_fangraphs","name_first","name_last","name_given","name_nick","birth_year","birth_month","birth_day","pro_played_first","mlb_played_first","mlb_played_last"
"697e5193","697e5193-2100-4522-ba04-e8390918d9c0",657585,"","garrere01",16866,"Reed","Garrett","Reed","",1993,1,2,2014,2019,2019
"f7ef5316","f7ef5316-ded0-49f6-b07d-2d627d2b3b1c",477237,"garrs002","garrist01",9869,"Steve","Garrison","Stevenson Nathaniel","",1986,9,12,2005,2011,2011
"0c1cc2f2","0c1cc2f2-d489-4435-ae15-999d5921b58f",623439,"gartr001","gartory01",14016,"Ryan","Garton","Ryan Patrick","",1989,12,5,2012,2016,2019
"a5037e60","a5037e60-6890-47fc-b8b2-369112ac9664",641598,"garvm001","garvemi01",15161,"Mitch","Garver","Mitchell Lyn","",1991,1,15,2013,2017,2019
"337313f5","337313f5-180d-4133-9514-eb3c6c7d1c48",490063,"garzm001","garzama01",3340,"Matt","Garza","Matthew Scott","",1983,11,26,2005,2006,2017
"bdea247d","bdea247d-f786-4949-8270-4bebe395eb7a",518713,"gastj001","gastjo01",11133,"John","Gast","John Walter","",1989,2,16,2010,2013,2013
"df50d71c","df50d71c-8f09-4e86-abd3-ca5c20c78ec1",431157,"gathj001","gathrjo01",3913,"Joey","Gathright","Joey Renard","",1981,4,27,2002,2004,2011
"ec1ed8c1","ec1ed8c1-d3a9-42ba-b47b-393e006e0338",594828,"gatte001","gattiev01",11003,"Evan","Gattis","James Evan","El Oso Blanco",1986,8,18,2010,2013,2018
"b719d179","b719d179-eb5f-41c0-b1b6-70e72c8fc3d5",453304,"gaubj001","gaubjo01",2857,"John","Gaub","John David","",1985,4,28,2007,2011,2011
"34c85045","34c85045-8199-4345-949c-4ba314b3c291",429985,"gaudc001","gaudich01",1783,"Chad","Gaudin","Chad Edward","",1983,3,24,2002,2003,2013
"ba588078","ba588078-6bc8-4233-adc5-179236d0783a",592332,"gausk001","gausmke01",14107,"Kevin","Gausman","Kevin John","",1991,1,6,2012,2013,2019
"59d16760","59d16760-3888-425c-a802-5ce47752c906",543208,"gavis001","gavigsa01",12778,"Sam","Gaviglio","Samuel Joseph","",1990,5,22,2011,2017,2019
"e2965af1","e2965af1-4d43-49c3-b152-7c7d7c8f7727",518715,"gearc001","gearrco01",7947,"Cory","Gearrin","Cory Nathanial","",1986,4,14,2007,2011,2019
"71682d04","71682d04-ee85-481a-9552-fde167ebaf17",518716,"gee-d001","geedi01",7396,"Dillon","Gee","Dillon Kyle","",1986,4,28,2007,2010,2017
"671ad26b","671ad26b-4015-42db-90b2-217481524e30",544993,"gelts001","geltzst01",8402,"Steve","Geltz","Steven Andrew","",1987,11,1,2008,2012,2016
"279825cc","279825cc-a89b-4999-ada4-6c04bd65072a",571697,"genns001","gennesc01",10339,"Scooter","Gennett","Ryan Joseph","",1990,5,1,2010,2013,2019
"32df7dbe","32df7dbe-1360-4a66-b593-ad5aaa988956",502226,"gentc001","gentrcr01",9571,"Craig","Gentry","Craig Alan","",1983,11,29,2006,2009,2018
"bde96fc1","bde96fc1-9e2e-4f6e-ae4b-7236a737de3c",595222,"gerbm001","gerbemi01",16115,"Mike","Gerber","Michael Jeffrey","",1992,7,8,2014,2018,2019
"2b28fca0","2b28fca0-3a93-4e09-b898-de9d77f83379",593334,"germd001","germado01",17149,"Domingo","German","Domingo","",1992,8,4,2010,2017,2019
"d82af7cc","d82af7cc-1ad3-4154-b42b-749803451526",407397,"germe001","germaes01",1449,"Esteban","German","Esteban","",1978,1,26,1998,2002,2011
"cc47a022","cc47a022-3245-42a3-ae41-d9a8f5e0a688",430683,"germj001","germaju01",1938,"Justin","Germano","Justin William","",1982,8,6,2000,2004,2014
"9c895423","9c895423-2eef-4fba-a253-63e19b6069ee",542674,"germg001","germego01",5876,"Gonzalez","Germen","Gonzalez German","",1987,9,23,2008,2013,2016
"d7d5e642","d7d5e642-fb97-41d4-bf03-c471e2846b3a",425506,"geruj001","gerutjo01",1696,"Jody","Gerut","Joseph Diego","",1977,9,18,1999,2003,2010
"4d835598","4d835598-ad9b-4ed7-a3c1-fa30f4e5caa4",463645,"gervs001","gervasa01",5127,"Sammy","Gervacio","Samuel","",1985,1,10,2005,2009,2010
"54736318","54736318-5560-4d3b-a44d-dbdaa31088ea",460051,"getzc001","getzch01",3388,"Chris","Getz","Christopher Ryan","",1983,8,30,2005,2008,2014
